weight,word,color,url
17,são curiosos,,
16,sabem caracterizar um problema,,
13,gostam de tecnologias,,
13,gostam da interface entre CD e a aplicação,,
13,trabalham em equipa,,
12,gostam de aplicações de matemática,,
11,gostam de estatística,,
11,sabem contar uma história,,
10,sabem programar,,
10,sabem reutilizar código,,
10,usam a cloud,,
9,usam ferramentas colaborativas,,
8,sabem analisar dados,,
9,sabem gerir dados,,
10,gostam de aprender ao longo da vida,,
